Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26
Ondo,0,2021 MIS,SW,32.8,0.7,15.6,24.9,63.3,0,0,60,50.1,28.2,15.2,48.8,7.8,6.7,0,0,0,0,0,0,0,81.2
Osun,0,2021 MIS,SW,71.9,2,52.6,35.1,54.5,0,0,55.7,44.8,25.2,15.7,61,29.7,34,0,0,0,0,0,0,0,83
Oyo,1,2021 MIS,SW,53.7,1.1,30.5,35.6,60.5,0,0,55.8,40.1,18.9,18.3,46,34.5,18.3,0,0,0,0,0,0,0,71.1
Plateau,1,2021 MIS,NC,37.8,0.7,15.1,29.5,78,26.6,0,51.4,48.8,45.8,13.6,52.7,10.5,1.3,0,0,0,0,0,0,0,77.8
Rivers,0,2021 MIS,SS,22.6,0.4,5.6,14.4,46.2,1.4,0,79.2,63,38,30.6,58.2,4.2,23.1,0,0,0,0,0,0,0,69.5
Sokoto,1,2021 MIS,NW,68.5,1.6,27.5,40,55,40.1,56.9,61.6,43,29.2,66.1,71.1,22,2.6,0,0,0,0,0,0,0,81.2
Taraba,0,2021 MIS,NE,64.6,1.4,30,38.1,56.1,52.1,58.4,63,46.8,25.2,24.4,46.8,22.2,13.1,0,0,0,0,0,0,0,75.2
Yobe,0,2021 MIS,NE,76.4,1.9,29.8,40.7,53.1,59.3,83.9,40.1,30.3,24.3,46.5,45.3,24,8.9,0,0,0,0,0,0,0,70.3
Zamfara,1,2021 MIS,NW,66.3,1.6,26.1,46.1,67,56.9,74.8,40,30.6,27.3,47.1,51.7,32.9,10.6,0,0,0,0,0,0,0,72.5
Abia,0,2018 DHS,SE,45.4,0.8,22.9,23.9,48.1,25.2,51.4,90.6,85.3,73.7,7.7,86.6,15.8,8.5,0,0,0,0,0,0,86,83.5
Adamawa,0,2018 DHS,NE,47.7,1.3,32.7,46.8,90,37.8,89.4,72.8,37.6,4.4,27.9,49.3,6.5,27.1,0,0,0,0,0,0,104,81.1
Akwa Ibom,1,2018 DHS,SS,55.8,1.2,32.9,36.5,52.5,25.9,42.2,83.4,44.5,16.5,37.6,69.5,18,28.7,0,0,0,0,0,0,98,76
Anambra,0,2018 DHS,SE,32.8,0.6,13.5,25.4,59.7,28,79.8,81.6,65.9,43.4,13.7,97.4,7.4,58.4,0,0,0,0,0,0,58,74.8
Bauchi,1,2018 DHS,NE,84.3,1.9,31,52.7,60.8,71,80.1,59.5,40.1,14.6,49.5,71.2,16.8,13.1,0,0,0,0,0,0,147,78
Bayelsa,0,2018 DHS,SS,47.2,0.8,26.7,32.7,69.3,29.7,64.6,44.2,14.2,7.2,10,71.8,3,34.6,0,0,0,0,0,0,31,64.1
Benue,1,2018 DHS,NC,64.1,1.2,28.5,65,92.8,67.2,87.7,66.7,47.5,17.6,12.2,92.3,12.4,13.3,0,0,0,0,0,0,59,67.2
Borno,0,2018 DHS,NE,68.3,1.3,30.8,49.2,77.5,55.1,82.8,67.2,41.2,9.1,16,77.5,11.4,23.6,0,0,0,0,0,0,86,71.4
Cross River,1,2018 DHS,SS,57.5,0.8,32.3,43.4,71.9,34.3,0,83.2,75.1,32.6,16.8,83.5,19.3,25.9,0,0,0,0,0,0,80,77.6
Delta,0,2018 DHS,SS,38.5,0.6,17.6,36.5,73.6,37.6,72.5,64.9,40.1,15.1,5.2,0,0,0,0,0,0,0,0,0,53,84.9
Ebonyi,1,2018 DHS,SE,75.7,1.7,38.4,67.9,89.4,72.9,91.6,67.6,47,24.2,32.4,64.3,17.9,44.7,0,0,0,0,0,0,91,83.6
Edo,0,2018 DHS,SS,57,1.2,37.2,31.4,53.6,24.6,46.8,80.7,67.1,47.1,18.9,78.3,16.5,11.4,0,0,0,0,0,0,71,76.4
Ekiti,0,2018 DHS,SW,45.3,0.7,23.1,26.4,53.6,25.3,0,71.4,48.2,24,17.9,61.8,28.7,14.1,0,0,0,0,0,0,95,85.9
Enugu,0,2018 DHS,SE,38.3,0.6,17.6,26.7,56.9,36,69.8,70.3,53.9,23.9,14,81.6,10.3,42.3,0,0,0,0,0,0,61,81.8
